couleur,description
#C9EAFA,bleuclair
#1EA0E6,bleu
#116D9E,bleufonce
#C9D3D7,grisclair
#78909C,gris
#495D67,grisfonce
#F8E5D7,orangeclair
#F07828,orange
#B25617,orangefonce
#DF578B,rose
#F2BCD1,roseclair
#A42756,rosefonce
#CCBA33,or
#EDE7B7,orclair
#B39A0C,orfonce
#36899B,bleugris
#AFD0D7,bleugrisclair
#185967,bleucgrisfonce
#BB7E60,marron
#E6D7D0,marronclair
#6F3A22,marronfonce
#748258,vertdegris
#C7CDBC,vertdegrisclair
#434D30,vertdegrisfonce
#00A745,vert
#C81923,rouge
#832B1E,extgauche
#CD3939,pcf
#D93A33,lfi
#4BA244,eelv
#C4516B,ps
#ECBD50,enmarche
#41B1D6,centredroit
#334EA1,lr
#313184,rn
#71547D,reconquete
#D5BC73,gold
#BCBCBC,silver
#B4725E,bronze
#2D66B2,psg