code,hexa,couleursimple
color-text,#212121,texte
color-text-alt,#848484,
color-text-muted,#78909C,textegrise
color-text-inverse,#FFF,
color-border,#DFE4E6,
color-background,#F5F7F8,
color-background-contrast,#101C25,
color-background-inverse,#FFF,
color-background-modal,#FFF,
color-contrast,#212121,
color-brand,#1EA0E6,bleuLP
color-brand-weak,#EDF7FD,
color-brand-strong,#1997E6,
color-subscription,#FFCC33,jaune
color-subscription-weak,#FFEEBC,
color-subscription-strong,#FFBF0F,
color-live,#C61B25,rouge
color-live-weak,#F7DDDE,
color-live-strong,#AA000A,rougefonce
color-guide,#F07828,
color-guide-weak,#FDF0E7,
color-guide-strong,#F06B28,
color-club,#DCAF32,
color-club-weak,#FAF3E0,
color-club-strong,#9F7F24,
color-success,#29AD61,vert
color-warning,#F07828,orange
color-error,#C61B25,
color-error-weak,#F7DDDE,roseclair
color-error-strong,#AA000A,
color-thematic-ma-terre,#018354,vertfonce
color-thematic-bien-manger,#F74F58,
color-thematic-ca-me-rapporte,#CC9D58,beigefonce
color-thematic-la-liste-de-nos-envies,#D74D8F,rosefonce
color-thematic-matiere-grise,#8A51D2,violet
color-thematic-psg,#2D66B2,bleupsg
color-thematic-enquete-en-cours,#7779A6,
color-text,#FFF,
color-text-muted,#AAB7C1,
color-border,#384047,
color-background,#262F36,
color-background-inverse,#021014,
color-background-modal,#101C25,
color-brand-weak,#093045,
color-error-weak,#471B24,